date | value
2011-01-31 | 1
2011-01-32 | 1
2011-02-28 | 1
2011-02-29 | 1
2011-03-31 | 1
2011-03-32 | 1
2011-04-30 | 1
2011-04-31 | 1
2011-05-31 | 1
2011-05-32 | 1
2011-06-30 | 1
2011-06-31 | 1
2011-07-31 | 1
2011-07-32 | 1
2011-08-31 | 1
2011-08-32 | 1
2011-09-30 | 1
2011-09-31 | 1
2011-10-31 | 1
2011-10-32 | 1
2011-11-30 | 1
2011-11-31 | 1
2011-12-31 | 1
2011-12-32 | 1
2011-13-01 | 1
2011-02-29 | 1
2012-02-29 | 1
2400-02-29 | 1
2009-01-01 | 1
2012-01-11 | 2147483648
2001-42-42
2001-42-42 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
 2012-01-11  |  1
